GO	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
endodeoxyribonuclease activity (GO:0004520)	0	0	0	0	0	0	9	1	0	0	9	0	9	0	7	9	8	10	4	9
endoribonuclease activity (GO:0004521)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
RNA-DNA hybrid ribonuclease activity (GO:0004523)	2	0	0	0	0	0	0	3	0	0	8	2	7	0	7	6	7	8	0	9
ribonuclease III activity (GO:0004525)	0	0	0	4	0	0	0	0	0	0	10	0	10	0	8	11	5	10	4	10
ribonuclease P activity (GO:0004526)	0	0	0	0	0	0	0	1	0	0	5	0	4	0	0	5	4	5	0	5
5'-3' exoribonuclease activity (GO:0004534)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
deoxyribonuclease activity (GO:0004536)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
ribonuclease activity (GO:0004540)	0	0	0	0	0	0	2	0	0	0	3	3	2	0	4	4	3	4	2	2
nucleoside diphosphate kinase activity (GO:0004550)	0	0	0	0	0	0	0	0	0	0	6	0	5	0	5	6	4	6	0	6
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	0	6	5	1	0	0	2	0	0	0	0	0	1	1	1	2	0	0	0	1
alpha-mannosidase activity (GO:0004559)	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
alpha-L-fucosidase activity (GO:0004560)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
beta-N-acetylhexosaminidase activity (GO:0004563)	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mannosyl-oligosaccharide glucosidase activity (GO:0004573)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orotate phosphoribosyltransferase activity (GO:0004588)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	2	2
orotidine-5'-phosphate decarboxylase activity (GO:0004590)	0	0	0	0	0	0	0	4	0	0	5	1	6	0	4	7	4	5	0	6
oxoglutarate dehydrogenase (succinyl-transferring) activity (GO:0004591)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
pantoate-beta-alanine ligase activity (GO:0004592)	0	1	0	2	0	0	0	0	0	0	5	2	5	0	6	6	4	5	0	5
pantothenate kinase activity (GO:0004594)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	3	3	4	4	0	4
pantetheine-phosphate adenylyltransferase activity (GO:0004595)	0	0	0	0	0	0	0	0	0	0	9	0	9	0	9	13	9	13	0	9
peroxidase activity (GO:0004601)	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylserine decarboxylase activity (GO:0004609)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	4	4	4	0	4
phosphoenolpyruvate carboxykinase activity (GO:0004611)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
phosphoenolpyruvate carboxykinase (ATP) activity (GO:0004612)	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphoenolpyruvate carboxykinase (GTP) activity (GO:0004613)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
phosphoglycerate dehydrogenase activity (GO:0004617)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1
phosphoglycerate kinase activity (GO:0004618)	0	0	0	0	0	0	0	7	0	0	17	7	19	0	16	17	17	17	9	17
phosphoglycerate mutase activity (GO:0004619)	0	4	0	0	0	0	4	3	0	0	8	0	7	0	6	8	8	8	0	8
phospholipase activity (GO:0004620)	0	0	0	0	0	0	0	4	0	0	10	0	1	0	7	10	10	10	6	10
phosphopantothenate--cysteine ligase activity (GO:0004632)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	2	0	2
phosphopantothenoylcysteine decarboxylase activity (GO:0004633)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	2	0	2
phosphopyruvate hydratase activity (GO:0004634)	0	0	0	0	0	0	1	0	0	0	12	3	5	0	8	16	4	12	4	12
phosphoribosylamine-glycine ligase activity (GO:0004637)	0	0	0	4	0	0	0	0	0	0	7	2	7	0	4	7	4	7	2	7
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphoribosylanthranilate isomerase activity (GO:0004640)	0	0	0	0	0	0	0	1	0	0	3	0	3	0	3	3	4	3	4	3
phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphoribosylformylglycinamidine synthase activity (GO:0004642)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
phosphoserine phosphatase activity (GO:0004647)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	2	0	2
polyribonucleotide nucleotidyltransferase activity (GO:0004654)	0	1	0	0	0	0	1	1	0	0	4	3	2	0	4	3	3	4	2	4
porphobilinogen synthase activity (GO:0004655)	0	0	0	0	0	0	0	8	0	0	10	0	10	0	9	10	10	10	3	10
proline dehydrogenase activity (GO:0004657)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
prenyltransferase activity (GO:0004659)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
prephenate dehydratase activity (GO:0004664)	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prephenate dehydrogenase (NADP+) activity (GO:0004665)	0	0	0	0	0	0	0	0	0	0	2	4	2	0	2	2	2	2	0	2
protein-arginine deiminase activity (GO:0004668)	0	0	0	0	0	0	0	0	0	0	2	2	4	0	3	2	3	2	2	2
protein kinase activity (GO:0004672)	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0
protein histidine kinase activity (GO:0004673)	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	0	2
protein serine/threonine kinase activity (GO:0004674)	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein-L-isoaspartate (D-aspartate) O-methyltransferase activity (GO:0004719)	0	0	0	0	0	0	3	0	0	0	4	0	4	0	0	4	3	4	3	4
protein tyrosine phosphatase activity (GO:0004725)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purine-nucleoside phosphorylase activity (GO:0004731)	1	0	0	0	0	0	0	0	0	0	3	2	4	0	1	4	4	4	1	4
pyrroline-5-carboxylate reductase activity (GO:0004735)	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	5	5	5	0	5
pyruvate dehydrogenase (acetyl-transferring) activity (GO:0004739)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyruvate kinase activity (GO:0004743)	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor (GO:0004748)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	0	1
ribose phosphate diphosphokinase activity (GO:0004749)	0	0	0	0	0	0	0	3	0	0	5	3	5	0	5	5	0	5	2	5
ribulose-phosphate 3-epimerase activity (GO:0004750)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	3	0	3	0	3
shikimate 3-dehydrogenase (NADP+) activity (GO:0004764)	0	0	0	0	0	0	0	2	0	0	4	0	4	0	4	4	4	4	0	4
superoxide dismutase activity (GO:0004784)	0	0	0	0	0	0	6	4	0	2	6	0	3	0	2	8	8	8	0	8
thiamine diphosphokinase activity (GO:0004788)	0	0	0	0	0	0	0	0	0	0	5	0	7	0	5	6	5	5	0	6
thiamine-phosphate diphosphorylase activity (GO:0004789)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	2	0	2
thioredoxin-disulfide reductase activity (GO:0004791)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1
thymidylate kinase activity (GO:0004798)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	1	3	3	0	3
transaldolase activity (GO:0004801)	0	0	1	0	0	0	0	0	0	0	4	1	2	0	2	4	2	4	1	4
transketolase activity (GO:0004802)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1
transposase activity (GO:0004803)	0	2	1	0	0	0	8	0	0	0	4	0	9	0	1	4	9	0	5	0
triose-phosphate isomerase activity (GO:0004807)	0	0	8	0	0	0	0	0	0	0	10	0	4	0	12	6	9	7	3	7
tRNA adenylyltransferase activity (GO:0004810)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0
aminoacyl-tRNA ligase activity (GO:0004812)	0	2	14	1	0	1	19	14	0	0	50	15	48	3	48	63	38	53	14	52
alanine-tRNA ligase activity (GO:0004813)	0	0	6	0	0	0	1	4	0	0	4	5	11	0	8	6	4	4	2	4
arginine-tRNA ligase activity (GO:0004814)	0	0	0	0	0	0	3	7	0	0	12	1	10	0	12	10	13	13	4	14
cysteine-tRNA ligase activity (GO:0004817)	0	0	0	0	0	0	0	0	0	0	3	0	4	0	3	3	0	4	0	4
glutamate-tRNA ligase activity (GO:0004818)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	3	1	4	0	4
glycine-tRNA ligase activity (GO:0004820)	0	0	0	0	0	0	3	0	0	0	22	0	24	5	18	24	17	21	4	21
histidine-tRNA ligase activity (GO:0004821)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	2
isoleucine-tRNA ligase activity (GO:0004822)	0	0	1	0	0	0	0	0	0	0	6	0	5	0	2	5	5	7	0	7
leucine-tRNA ligase activity (GO:0004823)	0	0	5	0	0	0	1	0	0	0	11	5	11	1	10	11	9	11	4	11
lysine-tRNA ligase activity (GO:0004824)	0	0	0	0	0	0	0	0	0	0	5	0	8	0	4	4	3	8	2	8
methionine-tRNA ligase activity (GO:0004825)	0	0	0	0	0	0	0	0	0	0	11	0	10	2	4	8	6	11	0	11
phenylalanine-tRNA ligase activity (GO:0004826)	0	0	0	0	0	0	0	1	0	0	3	0	3	1	3	8	5	9	1	8
proline-tRNA ligase activity (GO:0004827)	0	0	0	0	0	0	0	5	0	0	5	0	6	0	3	6	5	6	0	6
serine-tRNA ligase activity (GO:0004828)	0	3	0	0	0	0	0	5	0	0	9	7	5	0	4	11	7	9	1	9
threonine-tRNA ligase activity (GO:0004829)	0	0	1	0	0	0	1	8	0	0	8	5	8	0	8	8	3	8	5	8
tryptophan-tRNA ligase activity (GO:0004830)	0	0	0	2	0	0	0	3	0	0	7	2	3	0	5	7	0	7	0	7
tyrosine-tRNA ligase activity (GO:0004831)	0	0	0	0	0	0	0	3	0	0	8	0	9	0	2	9	8	9	2	9
valine-tRNA ligase activity (GO:0004832)	0	0	3	0	0	0	3	0	0	0	9	1	12	1	6	9	8	9	0	9
tryptophan synthase activity (GO:0004834)	0	0	1	0	0	0	4	3	0	1	8	4	9	0	1	12	4	11	0	11
ubiquitin-protein transferase activity (GO:0004842)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uracil DNA N-glycosylase activity (GO:0004844)	0	0	0	0	0	0	0	1	0	0	4	0	4	0	4	4	0	4	0	4
uroporphyrinogen-III synthase activity (GO:0004852)	0	0	0	0	0	0	0	4	0	0	6	0	5	0	5	6	6	6	3	6
uroporphyrinogen decarboxylase activity (GO:0004853)	0	1	0	0	0	0	0	0	0	0	6	0	8	0	4	6	4	6	1	8
enzyme inhibitor activity (GO:0004857)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transmembrane signaling receptor activity (GO:0004888)	0	5	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	2	0	2
G protein-coupled receptor activity (GO:0004930)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
mating-type factor pheromone receptor activity (GO:0004932)	30	0	35	12	11	11	8	16	8	4	0	23	15	14	8	4	8	25	4	20
scavenger receptor activity (GO:0005044)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sevenless binding (GO:0005118)	4	0	5	0	4	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0
structural molecule activity (GO:0005198)	0	7	2	0	0	0	3	1	0	0	32	2	35	0	30	35	35	36	5	37
transporter activity (GO:0005215)	0	1	4	1	0	0	7	0	0	0	6	5	6	0	11	4	9	3	5	3
voltage-gated chloride channel activity (GO:0005247)	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
proline:sodium symporter activity (GO:0005298)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	2	0	2
inorganic phosphate transmembrane transporter activity (GO:0005315)	0	0	0	0	0	0	2	2	0	0	2	0	6	0	4	2	4	2	0	2
nucleoside transmembrane transporter activity (GO:0005337)	0	0	0	1	0	0	1	1	0	0	2	0	2	0	1	2	2	2	0	2
galactose transmembrane transporter activity (GO:0005354)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
glucose transmembrane transporter activity (GO:0005355)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
iron ion transmembrane transporter activity (GO:0005381)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
manganese ion transmembrane transporter activity (GO:0005384)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron ion binding (GO:0005506)	0	1	6	0	0	0	4	7	0	0	23	4	24	0	17	28	16	27	3	24
copper ion binding (GO:0005507)	0	3	3	0	0	0	7	0	2	0	10	0	6	0	6	6	0	6	0	6
calcium ion binding (GO:0005509)	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
protein binding (GO:0005515)	1	23	62	2	0	0	19	8	0	0	94	21	73	1	67	90	70	103	24	102
ATP binding (GO:0005524)	15	56	108	15	6	3	144	128	11	4	540	134	558	29	480	587	444	597	140	595
GTP binding (GO:0005525)	7	16	14	3	0	0	19	21	1	0	139	54	134	1	107	152	108	156	33	146
glucose binding (GO:0005536)	0	0	2	0	0	0	0	1	0	0	3	0	2	0	2	3	2	3	2	3
extracellular region (GO:0005576)	0	0	0	0	0	0	12	7	0	0	20	7	16	0	13	16	12	14	2	25
nucleus (GO:0005634)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuclear pore (GO:0005643)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spliceosomal complex (GO:0005681)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chromosome (GO:0005694)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	8	3	6	2	5
cytoplasm (GO:0005737)	1	5	4	0	0	0	18	33	0	1	129	20	127	7	108	122	109	150	25	147
mitochondrion (GO:0005739)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
signal peptidase complex (GO:0005787)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lipid droplet (GO:0005811)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytosol (GO:0005829)	0	0	0	0	0	0	9	0	0	0	1	0	1	0	0	2	2	2	0	2
proteasome core complex (GO:0005839)	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	1	1	1	0	1
ribosome (GO:0005840)	0	29	24	0	0	0	69	14	0	0	279	63	245	1	184	294	198	286	79	277
dynactin complex (GO:0005869)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plasma membrane (GO:0005886)	0	1	0	0	0	0	4	0	0	0	6	0	7	0	6	8	3	6	1	6
integral component of plasma membrane (GO:0005887)	0	1	0	0	0	0	10	4	0	1	14	5	19	0	14	18	15	15	11	14
carbohydrate metabolic process (GO:0005975)	0	21	23	3	0	0	9	10	0	2	72	15	60	4	55	84	64	65	14	70
polysaccharide metabolic process (GO:0005976)	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	2
glycogen biosynthetic process (GO:0005978)	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
trehalose biosynthetic process (GO:0005992)	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fructose 6-phosphate metabolic process (GO:0006002)	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
glucose metabolic process (GO:0006006)	0	0	4	0	0	0	8	2	0	0	15	0	5	0	8	13	12	15	1	16
glucose catabolic process (GO:0006007)	0	2	0	0	0	0	2	1	0	0	6	0	5	0	3	6	5	6	0	6
UDP-glucose metabolic process (GO:0006011)	0	2	0	0	0	0	1	1	0	0	3	0	1	0	3	4	4	3	2	3
galactose metabolic process (GO:0006012)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	2	2	0	2
mannose metabolic process (GO:0006013)	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
N-acetylglucosamine metabolic process (GO:0006044)	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	0	3	0	3
glycerol metabolic process (GO:0006071)	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycerol-3-phosphate metabolic process (GO:0006072)	0	0	1	0	0	0	0	0	0	0	8	0	6	0	6	9	5	9	0	9
cellular aldehyde metabolic process (GO:0006081)	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
organic acid metabolic process (GO:0006082)	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	2	0	3
acetyl-CoA metabolic process (GO:0006084)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyruvate metabolic process (GO:0006090)	0	0	0	0	0	0	1	0	0	0	3	2	2	0	3	3	5	3	1	3
gluconeogenesis (GO:0006094)	0	6	0	0	0	0	7	3	0	0	14	6	14	0	18	14	14	14	13	14
glycolytic process (GO:0006096)	0	2	1	0	0	0	15	11	0	4	46	17	42	0	43	50	37	47	29	47
pentose-phosphate shunt (GO:0006098)	0	0	1	0	0	0	0	0	0	0	9	1	7	0	5	9	4	9	1	9
tricarboxylic acid cycle (GO:0006099)	0	1	3	0	0	0	2	1	2	1	16	8	16	0	11	21	18	17	6	17
fumarate metabolic process (GO:0006106)	0	0	0	0	0	0	1	0	0	1	4	1	4	0	2	4	4	4	3	4
malate metabolic process (GO:0006108)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
regulation of carbohydrate metabolic process (GO:0006109)	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	9	6	6	0	6
NADH oxidation (GO:0006116)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
nucleobase-containing compound metabolic process (GO:0006139)	1	0	0	0	0	0	0	0	0	0	13	9	12	0	9	13	9	14	1	14
purine nucleotide metabolic process (GO:0006163)	0	0	0	0	0	0	0	0	0	0	5	0	4	0	5	5	0	5	0	5
purine nucleotide biosynthetic process (GO:0006164)	0	0	1	0	1	0	0	4	0	0	11	9	16	0	14	17	9	18	4	13
nucleoside diphosphate phosphorylation (GO:0006165)	0	0	0	0	0	0	0	0	0	0	6	0	5	0	5	6	4	6	0	6
adenine salvage (GO:0006168)	0	0	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	2	0	2
GMP biosynthetic process (GO:0006177)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	2	6	3	6	0	6
GTP biosynthetic process (GO:0006183)	0	0	0	0	0	0	0	0	0	0	6	0	5	0	5	6	4	6	0	6
IMP biosynthetic process (GO:0006188)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'de novo' IMP biosynthetic process (GO:0006189)	0	0	3	0	0	0	0	0	0	0	8	0	9	0	6	10	5	9	0	9
inosine salvage (GO:0006190)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dGTP catabolic process (GO:0006203)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	0	0	0	0	0	0	0	2	0	0	13	3	9	0	6	12	8	13	2	13
pyrimidine nucleotide biosynthetic process (GO:0006221)	0	0	1	0	0	0	1	0	0	0	10	0	10	0	3	10	9	10	5	10
UMP biosynthetic process (GO:0006222)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
dUMP biosynthetic process (GO:0006226)	0	0	1	0	0	0	2	3	0	0	3	0	2	0	3	3	3	3	0	3
UTP biosynthetic process (GO:0006228)	0	0	0	0	0	0	0	0	0	0	6	0	5	0	5	6	4	6	0	6
dUTP biosynthetic process (GO:0006229)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	2	0	2
dTMP biosynthetic process (GO:0006231)	0	0	0	0	0	0	6	0	0	0	7	6	5	0	4	10	7	7	0	7
dTDP biosynthetic process (GO:0006233)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	1	3	3	0	3
CTP biosynthetic process (GO:0006241)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	6	7	5	7	0	7
DNA metabolic process (GO:0006259)	0	1	0	0	0	0	0	1	0	0	3	2	3	0	1	3	3	3	2	7
DNA replication (GO:0006260)	2	5	10	0	0	0	11	17	4	0	45	6	45	5	28	54	45	48	12	46
DNA-dependent DNA replication (GO:0006261)	0	0	0	0	0	0	0	10	0	0	10	0	6	0	10	13	6	10	1	10
DNA topological change (GO:0006265)	0	2	5	0	0	0	11	8	2	3	48	8	56	0	40	57	51	58	13	69
DNA replication, synthesis of RNA primer (GO:0006269)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	1	2	3	0	3
DNA replication initiation (GO:0006270)	0	0	0	0	0	0	13	0	0	0	8	1	6	0	2	7	9	8	1	8
regulation of DNA replication (GO:0006275)	0	0	0	0	0	0	4	0	0	0	7	1	6	0	1	7	7	7	0	7
plasmid maintenance (GO:0006276)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DNA repair (GO:0006281)	3	3	13	1	0	0	18	7	3	0	67	17	76	0	59	75	56	77	16	81
regulation of DNA repair (GO:0006282)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
base-excision repair (GO:0006284)	0	0	5	3	0	0	0	1	0	0	16	4	17	0	18	15	12	16	2	16
base-excision repair, AP site formation (GO:0006285)	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
nucleotide-excision repair (GO:0006289)	1	0	0	0	0	0	0	2	0	0	4	0	3	0	4	4	4	7	2	7
mismatch repair (GO:0006298)	0	0	6	0	0	0	2	2	0	0	4	0	5	0	4	7	3	4	1	4
double-strand break repair (GO:0006302)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA modification (GO:0006304)	0	0	0	0	0	0	0	1	0	0	5	0	5	0	5	6	5	7	3	7
DNA methylation (GO:0006306)	0	0	3	0	0	0	21	9	0	0	51	6	49	0	35	46	38	55	8	73
DNA catabolic process (GO:0006308)	0	0	1	0	0	0	0	0	4	0	8	1	7	0	3	8	3	7	5	7
DNA recombination (GO:0006310)	7	10	4	0	0	3	27	7	0	0	35	12	40	0	33	39	23	48	23	46
transposition, DNA-mediated (GO:0006313)	0	2	1	0	0	0	8	0	0	0	4	0	9	0	1	4	9	0	5	0
chromatin organization (GO:0006325)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
transcription, DNA-templated (GO:0006351)	1	1	2	0	0	0	12	25	0	0	40	10	37	1	36	38	37	39	24	36
DNA-templated transcription, initiation (GO:0006352)	7	14	0	0	0	0	6	4	0	0	25	2	27	0	25	30	26	31	7	31
DNA-templated transcription, termination (GO:0006353)	0	0	0	0	0	0	3	2	0	0	13	3	7	1	5	12	7	14	2	16
regulation of transcription, DNA-templated (GO:0006355)	11	75	24	3	0	0	23	10	0	0	58	13	75	12	59	89	65	73	20	81
rRNA processing (GO:0006364)	0	1	1	0	0	0	7	3	0	0	32	0	21	3	29	26	12	35	5	35
7-methylguanosine mRNA capping (GO:0006370)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA processing (GO:0006396)	0	0	2	7	1	0	1	1	0	1	12	5	13	0	10	18	10	13	6	13
tRNA modification (GO:0006400)	0	0	4	0	0	0	4	4	0	0	15	1	17	0	14	14	11	18	4	18
mRNA catabolic process (GO:0006402)	0	1	1	0	0	0	2	2	0	0	13	4	4	0	6	11	12	13	3	13
translation (GO:0006412)	0	33	24	0	0	0	77	16	0	0	330	78	291	7	212	335	240	338	93	325
translational initiation (GO:0006413)	0	0	0	0	0	0	0	0	0	0	19	0	17	0	7	19	12	19	11	19
translational elongation (GO:0006414)	0	0	0	0	0	0	7	0	0	0	13	3	13	0	12	15	13	18	0	15
translational termination (GO:0006415)	0	1	0	1	0	0	3	0	0	0	12	5	12	0	8	10	8	12	5	12
tRNA aminoacylation for protein translation (GO:0006418)	0	1	9	1	0	1	15	10	0	0	44	12	47	5	43	47	38	38	8	38
alanyl-tRNA aminoacylation (GO:0006419)	0	0	6	0	0	0	1	4	0	0	3	5	11	0	8	5	3	3	2	3
arginyl-tRNA aminoacylation (GO:0006420)	0	0	0	0	0	0	3	7	0	0	12	1	10	0	12	10	13	13	4	14
cysteinyl-tRNA aminoacylation (GO:0006423)	0	0	0	0	0	0	0	0	0	0	3	0	4	0	3	3	0	4	0	4
glutamyl-tRNA aminoacylation (GO:0006424)	0	0	0	0	0	0	0	0	0	0	3	0	2	0	4	4	1	5	0	5
glycyl-tRNA aminoacylation (GO:0006426)	0	0	0	0	0	0	3	0	0	0	22	0	24	5	18	24	17	21	4	21
histidyl-tRNA aminoacylation (GO:0006427)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	2
isoleucyl-tRNA aminoacylation (GO:0006428)	0	0	0	0	0	0	0	0	0	0	6	0	5	0	2	5	5	6	0	6
leucyl-tRNA aminoacylation (GO:0006429)	0	0	5	0	0	0	1	0	0	0	11	5	11	1	10	11	9	11	4	11
lysyl-tRNA aminoacylation (GO:0006430)	0	0	0	0	0	0	0	0	0	0	5	0	8	0	4	4	3	8	2	8
methionyl-tRNA aminoacylation (GO:0006431)	0	0	0	0	0	0	0	0	0	0	10	0	10	2	4	8	6	10	0	10
phenylalanyl-tRNA aminoacylation (GO:0006432)	0	0	0	0	0	0	1	1	0	0	6	0	6	1	6	13	4	14	1	10
prolyl-tRNA aminoacylation (GO:0006433)	0	0	0	0	0	0	0	5	0	0	5	0	6	0	3	6	5	6	0	6
