IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
"Clp protease, ATP-binding subunit ClpX (IPR004487)"	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	1	0	2	0	2
Magnesium/cobalt transport protein CorA (IPR004488)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
Succinate dehydrogenase/fumarate reductase iron-sulphur protein (IPR004489)	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
Glycolate oxidase subunit GlcD (IPR004490)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
Heat shock protein HslU (IPR004491)	0	1	0	0	0	0	0	1	0	0	3	0	3	0	2	2	2	3	1	3
"Methionyl-tRNA synthetase, beta subunit, C-terminal (IPR004495)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	0	2	0	2
Ribosomal protein L11 methyltransferase (IPR004498)	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	3	0	3	0	3
"Prolyl-tRNA synthetase, class IIa, bacterial-type (IPR004500)"	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	2	2	1	0	1
DNA repair protein RadA (IPR004504)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
tRNA-specific 2-thiouridylase (IPR004506)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	2	3	0	3
Flavin prenyltransferase UbiX-like (IPR004507)	0	0	1	0	0	0	0	1	0	0	3	0	2	0	1	3	3	3	3	3
Cell division protein FtsX (IPR004513)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Phosphoheptose isomerase (IPR004515)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2
Histidine-tRNA ligase/ATP phosphoribosyltransferase regulatory subunit (IPR004516)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1
tRNA modification GTPase MnmE (IPR004520)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	1	2	0	2
"Aspartate-tRNA ligase, type 1 (IPR004524)"	0	0	0	0	0	0	2	0	0	0	3	1	3	0	4	3	3	4	0	3
"Glutamate-tRNA ligase, bacterial/mitochondrial (IPR004527)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	3	1	4	0	4
3-deoxy-D-manno-octulosonate cytidylyltransferase (IPR004528)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	1	0	3	0	3
"Phenylalanyl-tRNA synthetase, class IIc, alpha subunit (IPR004529)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"Phenylalanyl-tRNA synthetase, class IIc, mitochondrial (IPR004530)"	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1
"Phenylalanine-tRNA ligase, class IIc, beta subunit, bacterial type (IPR004532)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
CDP-diacylglycerol--serine O-phosphatidyltransferase (IPR004533)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
L-seryl-tRNA(Sec) selenium transferase (IPR004534)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
Hemolysin A /rRNA methyltransferase TlyA (IPR004538)	0	0	1	0	0	0	0	0	0	0	2	0	1	0	3	2	2	2	0	2
Translation elongation factor EFG/EF2 (IPR004540)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1	2	0	2
"Translation elongation factor EFTu/EF1A, bacterial/organelle (IPR004541)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	2	0	2
"Restriction endonuclease, type I, methylase subunit (IPR004546)"	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	3	0	2
Glucosamine-6-phosphate isomerase (IPR004547)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptide chain release factor 3 (IPR004548)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetyl-CoA carboxylase, biotin carboxylase (IPR004549)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
"L-asparaginase, type II (IPR004550)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2
1-acyl-sn-glycerol-3-phosphate acyltransferase (IPR004552)	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1
Methyltransferase HemK-like (IPR004556)	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Oxygen-independent coproporphyrinogen III oxidase HemN (IPR004558)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	3	0	1
Heme chaperone HemW-like (IPR004559)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	1	2	0	2
Apolipoprotein N-acyltransferase (IPR004563)	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	2	0	2
Outer membrane lipoprotein carrier protein LolA-like (IPR004564)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	0	3	3	0	3
Phosphopantetheine-protein transferase domain (IPR004568)	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1
Pyridoxal phosphate (active vitamin B6) biosynthesis PdxJ (IPR004569)	0	0	0	0	0	0	2	0	0	0	4	0	3	0	5	4	3	5	2	5
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (IPR004570)	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	2	0	2	0	2
Transcription-repair coupling factor (IPR004576)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	2
"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type (IPR004588)"	0	0	0	0	0	0	0	0	0	0	4	2	5	0	2	5	2	4	2	4
UvrABC system subunit A (IPR004602)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
DNA recombination/repair protein RecN (IPR004604)	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	2	0	2	1	2
"DNA helicase, Holliday junction RuvB-type (IPR004605)"	1	0	0	0	0	0	2	1	0	0	3	2	3	0	3	3	3	3	2	3
Bacterial RecJ exonuclease (IPR004610)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1
Ribonuclease J (IPR004613)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
Phosphate acetyltransferase (IPR004614)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Type III pantothenate kinase (IPR004619)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	3	3	4	4	0	4
Potassium-transporting ATPase A chain (IPR004623)	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0
Protein YjdM (IPR004624)	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	2
"Peptidase S49, SppA (IPR004635)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Tetrapyrrole biosynthesis, glutamate-1-semialdehyde aminotransferase (IPR004639)"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	2
Iron-sulphur-dependent L-serine dehydratase single chain form (IPR004644)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain (IPR004647)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Beta-ketoacyl-[acyl-carrier-protein] synthase III (IPR004655)	0	0	0	0	0	0	0	1	0	0	3	0	3	0	1	3	3	3	2	3
Ribonuclease E/G (IPR004659)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Transcription termination factor Rho (IPR004665)	0	0	0	0	0	0	1	1	0	0	4	1	3	0	3	3	3	3	0	3
Anaerobic c4-dicarboxylate membrane transporter (IPR004668)	0	0	0	0	0	0	0	0	0	0	3	0	4	0	5	4	5	4	2	6
Na+/H+ antiporter NhaA (IPR004670)	0	0	0	0	0	0	0	0	0	0	4	3	4	2	4	5	1	4	0	4
"Cytochrome c oxidase cbb3-type, subunit I (IPR004677)"	0	0	0	1	0	0	2	1	0	0	2	1	2	0	2	2	2	2	0	2
"Cytochrome c oxidase cbb3-type, subunit III (IPR004678)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	2	2	0	2
2-hydroxycarboxylate transporter (IPR004679)	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAP transporter large membrane protein DctM (IPR004681)	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Type III secretion system substrate exporter FlhB-like (IPR004683)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Transition metal uptake transporter nickel/cobalt (IPR004688)	0	0	0	0	0	0	1	1	0	0	2	1	2	0	1	2	1	2	2	2
Preprotein translocase SecG subunit (IPR004692)	0	0	0	0	0	0	6	0	0	0	6	0	6	0	6	6	6	6	6	6
Hydroxy amino acid transporter (IPR004694)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1
Transporter protein SLAC1/Mae1/ Ssu1/TehA (IPR004695)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phosphotransferase system, enzyme II sorbitol-specific factor (IPR004699)"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"Phosphotransferase system, mannose/fructose/sorbose family, IIC subunit (IPR004700)"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phosphotransferase system, mannose/fructose/sorbose family IID component (IPR004704)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Arsenical-resistance protein Acr3 (IPR004706)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aspartate ammonia-lyase (IPR004708)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
Cytochrome oxidase maturation protein cbb3-type (IPR004714)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	2
Dihydroorotase homodimeric type (IPR004721)	0	0	0	0	0	0	0	1	0	0	5	0	1	0	1	4	2	5	0	2
Transaldolase type 1 (IPR004730)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Transaldolase type 2 (IPR004732)	0	0	0	0	0	0	0	0	0	0	4	1	2	0	2	4	2	4	0	4
Phosphoribosylformylglycinamidine cyclo-ligase (IPR004733)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GMP synthase, glutamine amidotransferase (IPR004739)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
Nucleoside:H+ symporter (IPR004740)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AmpG-like permease/Acetyl-coenzyme A transporter 1 (IPR004752)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell shape determining protein MreB (IPR004753)	0	0	0	0	0	0	2	3	0	0	8	2	8	0	3	8	6	8	0	8
Cation efflux system CzcA/CusA/SilA/NccA/HelA/CnrA (IPR004763)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	2	0	2
Adenylosuccinate lyase (IPR004769)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
Signal recognition particle protein (IPR004780)	0	0	0	0	0	0	1	0	0	0	2	0	2	0	1	3	3	2	0	2
Ribose 5-phosphate isomerase B (IPR004785)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
6-phosphogluconate dehydratase (IPR004786)	0	1	1	0	0	0	2	1	0	0	2	0	3	0	2	2	3	3	3	2
"UvrABC system, subunit C (IPR004791)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	0	2
Riboflavin biosynthesis protein RibD (IPR004794)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Periplasmic protein thiol:disulphide oxidoreductase DsbE (IPR004799)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Phosphosugar isomerase, KdsD/KpsF-type (IPR004800)"	0	0	0	0	0	0	1	0	0	0	2	0	2	0	2	2	0	2	0	2
tRNA-guanine transglycosylase (IPR004803)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	1	2	0	2
"DNA polymerase III, alpha subunit (IPR004805)"	0	1	0	0	0	0	3	4	0	0	2	3	3	0	3	5	6	2	1	2
"UvrABC system, subunit B (IPR004807)"	1	0	0	0	0	0	0	2	0	0	3	0	3	0	3	3	3	3	2	3
AP endonuclease 1 (IPR004808)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	3	6	3	0	3
Glutamine synthetase type I (IPR004809)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1
Formyltetrahydrofolate deformylase (IPR004810)	0	0	0	0	0	0	0	0	0	0	8	0	8	0	6	9	5	9	0	9
RelA/SpoT family (IPR004811)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"Oligopeptide transporter, OPT superfamily (IPR004813)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Lon protease, bacterial/eukaryotic-type (IPR004815)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	2	0	2
Cytidyltransferase-like domain (IPR004821)	0	0	0	0	0	0	0	1	0	0	7	1	7	0	7	8	8	9	0	7
Sodium/calcium exchanger membrane region (IPR004837)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Aminotransferases, class-I, pyridoxal-phosphate-binding site (IPR004838)"	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1
"Aminotransferase, class I/classII (IPR004839)"	0	3	2	0	0	0	4	1	0	0	3	2	5	0	5	4	4	4	1	3
"Amino acid permease, conserved site (IPR004840)"	0	0	0	0	0	0	1	0	0	0	2	0	2	0	1	2	0	2	0	2
Amino acid permease/ SLC12A domain (IPR004841)	0	1	2	0	0	1	1	1	0	0	4	0	3	0	2	3	1	2	0	5
"Calcineurin-like phosphoesterase domain, ApaH type (IPR004843)"	0	0	1	0	0	0	1	1	0	0	2	0	2	0	3	2	2	3	0	3
Type II/III secretion system (IPR004846)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Di-haem cytochrome c peroxidase (IPR004852)	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1
Membrane transport protein MMPL domain (IPR004869)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Lipoprotein NlpA family (IPR004872)	0	0	0	0	0	0	2	2	0	0	3	0	2	0	3	3	3	3	2	3
Glycoside hydrolase family 63 (IPR004888)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Domain of unknown function DUF262 (IPR004919)	0	0	0	0	0	0	2	2	0	0	6	0	7	0	6	8	6	7	2	7
Iron permease FTR1/Fip1/EfeU (IPR004923)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacterial lipid A biosynthesis acyltransferase (IPR004960)	0	0	0	0	0	0	0	3	0	0	3	0	3	0	3	3	2	3	1	3
HpcH/HpaI aldolase/citrate lyase domain (IPR005000)	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Outer membrane protein transport protein (OMPP1/FadL/TodX) (IPR005017)	0	0	0	0	0	0	2	2	0	0	2	2	2	0	3	4	3	2	0	2
Methyladenine glycosylase (IPR005019)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NADPH-dependent FMN reductase-like (IPR005025)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exportin-2, C-terminal (IPR005043)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peptidase C39, bacteriocin processing (IPR005074)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Peptidase C45 (IPR005079)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Endonuclease relaxase, MobA/VirD2 (IPR005094)"	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1
"Saccharopine dehydrogenase, NADP binding domain (IPR005097)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
"Aspartate/homoserine dehydrogenase, NAD-binding (IPR005106)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1
"MoeA, N-terminal and linker domain (IPR005110)"	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1
Nitrite/Sulfite reductase ferredoxin-like domain (IPR005117)	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Transcription-repair-coupling factor, C-terminal domain (IPR005118)"	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	4	2	2	0	2
Ferrodoxin-fold anticodon-binding domain (IPR005121)	0	0	0	0	0	0	0	0	0	0	3	3	3	0	3	3	3	3	1	3
Uracil-DNA glycosylase-like (IPR005122)	0	0	0	0	0	0	0	0	0	1	3	0	2	0	2	2	0	3	1	3
Oxoglutarate/iron-dependent dioxygenase (IPR005123)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpha-acetolactate decarboxylase (IPR005128)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Serine dehydratase-like, alpha subunit (IPR005130)"	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	2
Serine dehydratase beta chain (IPR005131)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Uncharacterised protein family UPF0114 (IPR005134)	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	2	1	1	0	1
Endonuclease/exonuclease/phosphatase (IPR005135)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Peptide chain release factor (IPR005139)	0	0	0	1	0	0	1	0	0	0	4	3	4	0	4	4	4	4	2	4
ATP-cone domain (IPR005144)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	2	2	0	2
B3/B4 tRNA-binding domain (IPR005146)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"tRNA synthetase, B5-domain (IPR005147)"	0	0	0	0	0	0	1	0	0	0	3	0	3	0	3	6	0	6	0	3
Arginyl tRNA synthetase N-terminal domain (IPR005148)	0	0	0	0	0	0	0	2	0	0	2	0	2	0	1	0	2	2	0	2
Tail specific protease (IPR005151)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2
"CagA exotoxin, phosphopeptide substrate mimic region (IPR005169)"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	0	2
Transporter-associated domain (IPR005170)	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	3	2	2	0	2
"Cytochrome C oxidase subunit IV, prokaryotes (IPR005171)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Domain of unknown function DUF304 (IPR005182)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Domain of unknown function DUF306, Meta/HslJ (IPR005184)"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1
FlaG protein (IPR005186)	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	2	2	2	0	2
"Glutamate-ammonia ligase adenylyltransferase, repeated domain (IPR005190)"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Glycoside hydrolase, family 65, central catalytic (IPR005195)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Endo-1,3(4)-beta-glucanase (IPR005200)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trigger factor (IPR005215)	0	0	0	0	0	0	2	1	0	0	4	0	4	0	3	3	2	4	2	4
Small GTP-binding protein domain (IPR005225)	1	1	1	0	0	0	1	1	0	0	8	2	7	0	7	11	7	11	2	10
Putative pre-16S rRNA nuclease (IPR005227)	0	0	0	0	0	0	0	0	0	0	5	0	1	0	7	3	0	5	0	5
Conserved hypothetical protein CHP00255 (IPR005229)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein of unknown function DUF389 (IPR005240)	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
YbhB/YbcL (IPR005247)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	0	3	0	3
Nicotinate/nicotinamide nucleotide adenylyltransferase (IPR005248)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	3	0	3	0	3
Coenzyme A biosynthesis bifunctional protein CoaBC (IPR005252)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	2	0	2
PdxA family (IPR005255)	0	0	0	0	0	0	2	0	0	0	4	0	3	0	3	3	4	3	2	3
"Anthranilate synthase component I, TrpE-like, bacterial (IPR005257)"	0	0	1	0	0	0	0	1	0	0	3	2	2	0	2	3	3	3	1	3
Primosomal protein N' (IPR005259)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	1	2	0	1
"Aspartate kinase, monofunctional class (IPR005260)"	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	3	3	3	0	3
"4-hydroxy-tetrahydrodipicolinate synthase, DapA (IPR005263)"	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	2	2	3	2	3
Protoporphyrinogen oxidase HemJ-like (IPR005265)	0	2	0	0	0	0	4	0	0	0	5	0	1	0	5	5	5	5	4	5
Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG (IPR005269)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Carboxy-S-adenosyl-L-methionine synthase (IPR005271)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	2	4	2	4	0	4
L-aspartate oxidase (IPR005288)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"Ribosomal protein S15, bacterial-type (IPR005290)"	0	0	3	0	0	0	0	0	0	0	2	0	0	0	3	3	0	3	0	3
"ATP synthase, F1 complex, alpha subunit (IPR005294)"	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	2	3	3	0	3
"Orn/Lys/Arg decarboxylase, N-terminal (IPR005308)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Penicillin-binding protein, dimerisation domain (IPR005311)"	0	0	1	0	0	0	0	0	0	0	2	1	2	0	2	2	1	2	1	2
Peptidase S51 (IPR005320)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Peptidase S58, DmpA (IPR005321)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ribosomal protein S5, C-terminal (IPR005324)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	1	1
"Protein of unknown function DUF308, membrane (IPR005325)"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
RapZ-like family (IPR005337)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0
Putative zinc- or iron-chelating domain containing protein (IPR005358)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	2	2	0	2
Uncharacterised protein family UPF0167 (IPR005363)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Histidine kinase domain (IPR005467)	0	3	4	0	1	0	2	0	0	0	4	0	3	0	1	4	1	5	2	4
"Transketolase, N-terminal (IPR005474)"	0	0	0	0	0	0	0	0	0	0	4	2	5	0	4	4	5	4	3	4
"Transketolase-like, pyrimidine-binding domain (IPR005475)"	0	2	2	0	0	0	0	2	0	0	4	0	4	0	4	6	5	4	2	4
Deoxyxylulose-5-phosphate synthase (IPR005477)	0	0	0	0	0	0	0	3	0	0	5	0	5	0	6	7	4	5	0	5
"Transketolase, bacterial-like (IPR005478)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1
"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain (IPR005479)"	0	0	6	0	0	0	4	0	0	0	7	3	6	0	6	8	7	9	4	7
"Carbamoyl-phosphate synthetase, large subunit oligomerisation domain (IPR005480)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	1	2	2	2
"Biotin carboxylase-like, N-terminal domain (IPR005481)"	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2	1	1	1	1
"Biotin carboxylase, C-terminal (IPR005482)"	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	2	2
"Carbamoyl-phosphate synthase large subunit, CPSase domain (IPR005483)"	0	0	0	0	0	0	2	0	0	0	7	2	7	0	6	11	7	7	2	7
Ribosomal protein L18 (IPR005484)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	2	2	2	2
"L,D-transpeptidase catalytic domain (IPR005490)"	0	0	2	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	2
Ribonuclease E inhibitor RraA/RraA-like protein (IPR005493)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"Glutathionylspermidine synthase, pre-ATP-grasp-like domain (IPR005494)"	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1
Permease LptG/LptF-related (IPR005495)	0	1	0	0	0	0	6	3	0	0	4	2	6	0	3	4	5	4	1	4
Integral membrane protein TerC (IPR005496)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
"Type IV secretion system, VirB10 / TraB / TrbI (IPR005498)"	0	1	0	0	0	0	0	2	0	0	2	0	3	0	3	4	2	2	1	4
LamB/YcsF/PxpA-like (IPR005501)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ADP-ribosylation/Crystallin J1 (IPR005502)	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flagellar basal body-associated protein FliL (IPR005503)	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	2	2	2	0	2
"Translation elongation factor EFG/EF2, domain IV (IPR005517)"	0	0	0	0	0	0	0	0	0	0	3	3	3	0	3	3	3	4	3	3
"Acid phosphatase, class B-like (IPR005519)"	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	1	1	1	1	1
Predicted permease DUF318 (IPR005524)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Septum formation inhibitor MinC, C-terminal (IPR005526)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
Cell division topological specificity factor MinE (IPR005527)	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	3	3	3	0	3
YCII-related (IPR005545)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autotransporter beta-domain (IPR005546)	0	0	0	0	0	0	0	3	0	0	7	0	7	0	6	7	8	8	3	8
