Species	Sample	HP	16s	metagenome
A5$Franconibacter	A5	Hp-negative	0	0
A5$Frankia	A5	Hp-negative	0	0.029498525
A5$Frederiksenia	A5	Hp-negative	0	0
A5$Fretibacterium	A5	Hp-negative	0	0
A5$Friedmanniella	A5	Hp-negative	0	0
A5$Frischella	A5	Hp-negative	0	0.020058997
A5$Fructilactobacillus	A5	Hp-negative	0	0.012979351
A5$Fusicatenibacter	A5	Hp-negative	0	0
A5$Fusobacterium	A5	Hp-negative	2.539787798	1.079646018
A5$Galbibacter	A5	Hp-negative	0	0.01179941
A5$Gallibacterium	A5	Hp-negative	0	0
A5$Gallionella	A5	Hp-negative	0	0
A5$Gardnerella	A5	Hp-negative	0	0.027138643
A5$GCA-900066575	A5	Hp-negative	0	0
A5$Geitlerinema_sp._PCC_7407	A5	Hp-negative	0	0.014159292
A5$Gemella	A5	Hp-negative	0.351458886	0
A5$Gemella_haemolysans	A5	Hp-negative	0	0.033038348
A5$Gemella_morbillorum	A5	Hp-negative	0	0.043657817
A5$Gemella_sanguinis	A5	Hp-negative	0	0.018879056
A5$Gemella_sp._zg-570	A5	Hp-negative	0	0.041297935
A5$Geminocystis_herdmanii	A5	Hp-negative	0	0.014159292
A5$Geminocystis_sp._NIES-3708	A5	Hp-negative	0	0.021238938
A5$Geminocystis_sp._NIES-3709	A5	Hp-negative	0	0
A5$Gemmata	A5	Hp-negative	0	0.056637168
A5$Gemmatirosa	A5	Hp-negative	0	0.017699115
A5$Gemmobacter	A5	Hp-negative	0	0
A5$Geoalkalibacter	A5	Hp-negative	0	0
A5$Geobacillus	A5	Hp-negative	0.106100796	0.050737463
A5$Geobacter	A5	Hp-negative	0	0.135693215
A5$Geomicrobium	A5	Hp-negative	0	0
A5$Georgenia	A5	Hp-negative	0	0
A5$Geosporobacter	A5	Hp-negative	0	0.021238938
A5$Geovibrio	A5	Hp-negative	0	0
A5$Gilliamella	A5	Hp-negative	0	0.095575221
A5$Gillisia	A5	Hp-negative	0	0.016519174
A5$Gimesia	A5	Hp-negative	0	0.028318584
A5$Glaciecola	A5	Hp-negative	0	0
A5$Glaciimonas	A5	Hp-negative	0	0.017699115
A5$Glaesserella	A5	Hp-negative	0	0.185250737
A5$Globicatella	A5	Hp-negative	0	0
A5$Gloeocapsa_sp._PCC_7428	A5	Hp-negative	0	0.041297935
A5$Gloeothece_citriformis	A5	Hp-negative	0	0.016519174
A5$Gloeothece_verrucosa	A5	Hp-negative	0	0.017699115
A5$Glycocaulis	A5	Hp-negative	0	0.068436578
A5$Gordonia	A5	Hp-negative	0	0
A5$Gottschalkia	A5	Hp-negative	0	0.110914454
A5$Gracilibacillus	A5	Hp-negative	0	0.043657817
A5$Gramella	A5	Hp-negative	0	0.053097345
A5$Granulibacter	A5	Hp-negative	0	1.45840708
A5$Granulicatella	A5	Hp-negative	0	0
A5$Granulicella	A5	Hp-negative	0	0
A5$Grimontia	A5	Hp-negative	0	0.020058997
A5$GWE2-31-10	A5	Hp-negative	0	0
A5$Haematobacter	A5	Hp-negative	0	0
A5$Haemophilus	A5	Hp-negative	5.291777188	0.187610619
A5$Hafnia	A5	Hp-negative	0	0.075516224
A5$Halanaerobium	A5	Hp-negative	0	0.074336283
A5$Halarcobacter	A5	Hp-negative	0	0.083775811
A5$Haliangium	A5	Hp-negative	0	0
A5$Haliscomenobacter	A5	Hp-negative	0	0.024778761
A5$Halobacillus	A5	Hp-negative	0	0.021238938
A5$Halobacteriovorax	A5	Hp-negative	0	0.027138643
A5$Halobacteroides	A5	Hp-negative	0	0.012979351
A5$Halocella	A5	Hp-negative	0	0.029498525
A5$Halodurantibacterium	A5	Hp-negative	0	0
A5$Halomonas	A5	Hp-negative	0	0.155752212
A5$Halotalea	A5	Hp-negative	0	0
A5$Halothermothrix	A5	Hp-negative	0	0.027138643
A5$Hathewaya	A5	Hp-negative	0	0.061356932
A5$Helcococcus	A5	Hp-negative	0	0.016519174
A5$Helicobacter	A5	Hp-negative	0.072944297	0.230088496
A5$Herbaspirillum	A5	Hp-negative	0	0.061356932
A5$Herbinix	A5	Hp-negative	0	0.017699115
A5$Heyndrickxia	A5	Hp-negative	0	0.044837758
A5$Hippea	A5	Hp-negative	0	0
A5$Hirschia	A5	Hp-negative	0	0
A5$Histophilus	A5	Hp-negative	0	0.038938053
A5$Holdemanella	A5	Hp-negative	0	0
A5$Humibacter	A5	Hp-negative	0	0
A5$Humisphaera	A5	Hp-negative	0	0.015339233
A5$Hungatella	A5	Hp-negative	0	0.043657817
A5$Hydrocarboniphaga	A5	Hp-negative	0	0
A5$Hydrogenispora	A5	Hp-negative	0	0
A5$Hydrogenobacter	A5	Hp-negative	0	0
A5$Hydrogenobaculum	A5	Hp-negative	0	0
A5$Hydrogenophaga	A5	Hp-negative	0	0.024778761
A5$Hydrogenophilus	A5	Hp-negative	0	0
A5$Hydrogenovibrio	A5	Hp-negative	0	0
A5$Hymenobacter	A5	Hp-negative	0	0.084955752
A5$Hypericibacter	A5	Hp-negative	0	0.01179941
A5$Hyphobacterium	A5	Hp-negative	0	0
A5$Hyphomicrobium	A5	Hp-negative	0	0
A5$Iamia	A5	Hp-negative	0	0
A5$Ichthyobacterium	A5	Hp-negative	0	0.017699115
A5$Idiomarina	A5	Hp-negative	0	0
A5$Ignavibacterium	A5	Hp-negative	0	0
A5$IheB3-7	A5	Hp-negative	0	0
A5$Ilyobacter	A5	Hp-negative	0	0.022418879
A5$Incertae_Sedis	A5	Hp-negative	0	0
A5$Intestinibaculum	A5	Hp-negative	0	0
A5$Intestinimonas	A5	Hp-negative	0	0
A5$Iodobacter	A5	Hp-negative	0	0
A5$Isosphaera	A5	Hp-negative	0	0
A5$Izimaplasma	A5	Hp-negative	0	0
A5$Janibacter	A5	Hp-negative	0	0
A5$Janthinobacterium	A5	Hp-negative	0	0
A5$Jeotgalibaca	A5	Hp-negative	0	0.022418879
A5$Jeotgalibacillus	A5	Hp-negative	0	0
A5$Jeotgalicoccus	A5	Hp-negative	0	0.012979351
A5$JGI_0001001-H03	A5	Hp-negative	0	0
A5$Jiangella	A5	Hp-negative	0	0
A5$Johnsonella	A5	Hp-negative	0	0
A5$Kaistella	A5	Hp-negative	0	0.057817109
A5$Kangiella	A5	Hp-negative	0	0.016519174
A5$Keratinibaculum	A5	Hp-negative	0	0.01179941
A5$Kibdelosporangium	A5	Hp-negative	0	0
A5$Kingella	A5	Hp-negative	0	0.012979351
A5$Kinneretia	A5	Hp-negative	0	1.58820059
A5$Kiritimatiella	A5	Hp-negative	0	0
A5$Kitasatospora	A5	Hp-negative	0	0.055457227
A5$Klebsiella	A5	Hp-negative	0	2.31740413
A5$Kluyvera	A5	Hp-negative	0	0
A5$Kocuria	A5	Hp-negative	0	0.04719764
A5$Koleobacter	A5	Hp-negative	0	0
A5$Komagataeibacter	A5	Hp-negative	0	0
A5$Kordia	A5	Hp-negative	0	0.03539823
A5$Kosakonia	A5	Hp-negative	0	0.029498525
A5$Ktedonosporobacter	A5	Hp-negative	0	0.012979351
A5$Kurthia	A5	Hp-negative	0	0.012979351
A5$Kushneria	A5	Hp-negative	0	0.014159292
A5$Kutzneria	A5	Hp-negative	0	0.204129794
A5$Labilibaculum	A5	Hp-negative	0	0.016519174
A5$Labilithrix	A5	Hp-negative	0	0.016519174
A5$Labrenzia	A5	Hp-negative	0	0
A5$Labrys	A5	Hp-negative	0	0.172271386
A5$Lachnoanaerobaculum	A5	Hp-negative	0	0.112094395
A5$Lachnoclostridium	A5	Hp-negative	0.484084881	0.051917404
A5$Lachnospira	A5	Hp-negative	0	0
A5$Lachnospiraceae_FCS020_group	A5	Hp-negative	0	0
A5$Lachnospiraceae_FE2018_group	A5	Hp-negative	0	0
A5$Lachnospiraceae_ND3007_group	A5	Hp-negative	0	0
A5$Lachnospiraceae_NK3A20_group	A5	Hp-negative	0	0
A5$Lachnospiraceae_NK4A136_group	A5	Hp-negative	1.564986737	0
A5$Lachnospiraceae_UCG-001	A5	Hp-negative	0.324933687	0
A5$Lachnospiraceae_UCG-004	A5	Hp-negative	0	0
A5$Lachnospiraceae_UCG-006	A5	Hp-negative	0	0
A5$Lachnospiraceae_UCG-008	A5	Hp-negative	0.51061008	0
A5$Lachnospiraceae_UCG-010	A5	Hp-negative	0	0
A5$Lacinutrix	A5	Hp-negative	0	0.087315634
A5$Lacrimispora	A5	Hp-negative	0	0.017699115
A5$Lacticaseibacillus	A5	Hp-negative	0	0.016519174
A5$Lactiplantibacillus	A5	Hp-negative	0	0.049557522
A5$Lactobacillus	A5	Hp-negative	4.734748011	0.430678466
A5$Lactococcus	A5	Hp-negative	0.212201592	0.723303835
A5$Lactovum	A5	Hp-negative	0	0
A5$Latilactobacillus	A5	Hp-negative	0	0.040117994
A5$Lautropia	A5	Hp-negative	0	0
A5$Lawsonella	A5	Hp-negative	0	0
A5$Lawsonia	A5	Hp-negative	0	0
A5$Leclercia	A5	Hp-negative	0	0.025958702
A5$Lederbergia	A5	Hp-negative	0	0.021238938
A5$Leeuwenhoekiella	A5	Hp-negative	0	0
A5$Legionella	A5	Hp-negative	0	1.438348083
A5$Leifsonia	A5	Hp-negative	0	0.016519174
A5$Lelliottia	A5	Hp-negative	0	0.031858407
A5$Lentibacillus	A5	Hp-negative	0	0.018879056
A5$Lentilactobacillus	A5	Hp-negative	0	0
A5$Lentimicrobium	A5	Hp-negative	0	0
A5$Lentzea	A5	Hp-negative	0	0.01179941
A5$Leptolyngbya_boryana	A5	Hp-negative	0	0
A5$Leptolyngbya_sp._15MV	A5	Hp-negative	0	0.024778761
A5$Leptolyngbya_sp._7M	A5	Hp-negative	0	0.096755162
A5$Leptospira	A5	Hp-negative	0	0.115634218
A5$Leptotrichia	A5	Hp-negative	0	0.213569322
A5$Leucobacter	A5	Hp-negative	0	0
A5$Leuconostoc	A5	Hp-negative	0	0.031858407
A5$Levilactobacillus	A5	Hp-negative	0	0
A5$Libanicoccus	A5	Hp-negative	0	0
A5$Liberibacter	A5	Hp-negative	0	0
A5$Lichenicola	A5	Hp-negative	0	0.037758112
A5$Ligilactobacillus	A5	Hp-negative	0	0.033038348
A5$Lignipirellula	A5	Hp-negative	0	0
A5$Limibaculum	A5	Hp-negative	0	0
A5$Limnobaculum	A5	Hp-negative	0	0.01179941
A5$Limnoglobus	A5	Hp-negative	0	0.036578171
A5$Limnohabitans	A5	Hp-negative	0	0
A5$Limosilactobacillus	A5	Hp-negative	0	0.351622419
A5$Liquorilactobacillus	A5	Hp-negative	0	0.027138643
A5$Listeria	A5	Hp-negative	0	0.107374631
A5$Loigolactobacillus	A5	Hp-negative	0	0
A5$Lonepinella	A5	Hp-negative	0	0
A5$Longicatena	A5	Hp-negative	0	0.033038348
A5$Luteibacter	A5	Hp-negative	0	0
A5$Luteimonas	A5	Hp-negative	0	0
A5$Luteithermobacter	A5	Hp-negative	0	0
A5$Luteolibacter	A5	Hp-negative	0	0.016519174
A5$Lutibacter	A5	Hp-negative	0	0.030678466
A5$Lysinibacillus	A5	Hp-negative	0	0.162831858
A5$Lysobacter	A5	Hp-negative	0	0.028318584
A5$Macellibacteroides	A5	Hp-negative	0	0
A5$Macrococcus	A5	Hp-negative	0	0.107374631
A5$Mahella	A5	Hp-negative	0	0.01179941
A5$Malaciobacter	A5	Hp-negative	0	0.227728614
A5$Mameliella	A5	Hp-negative	0	0.322123894
A5$Mammaliicoccus	A5	Hp-negative	0	0.207669617
A5$Mangrovivirga	A5	Hp-negative	0	0.016519174
A5$Mannheimia	A5	Hp-negative	0	0.074336283
A5$Maribacter	A5	Hp-negative	0	0.025958702
A5$Maribellus	A5	Hp-negative	0	0.033038348
A5$Marinicauda	A5	Hp-negative	0	0.033038348
A5$Marinifilum	A5	Hp-negative	0	0
A5$Mariniflexile	A5	Hp-negative	0	0.037758112
A5$Marinilactibacillus	A5	Hp-negative	0	0
A5$Marinobacter	A5	Hp-negative	0	0.04719764
A5$Marinomonas	A5	Hp-negative	0	0.068436578
A5$Marivirga	A5	Hp-negative	0	0.024778761
A5$Marmoricola	A5	Hp-negative	0	0
A5$Marvinbryantia	A5	Hp-negative	0	0
A5$Massilia	A5	Hp-negative	0	0.028318584
A5$Mediterraneibacter	A5	Hp-negative	0	0.042477876
A5$Megamonas	A5	Hp-negative	0	0.053097345
A5$Megasphaera	A5	Hp-negative	0.159151194	0
A5$Meiothermus	A5	Hp-negative	0	0.051917404
A5$Melioribacter	A5	Hp-negative	0	0
A5$Melissococcus	A5	Hp-negative	0	0.03539823
A5$Mesobacillus	A5	Hp-negative	0	0.025958702
A5$Mesoplasma	A5	Hp-negative	0	0.02359882
A5$Mesorhizobium	A5	Hp-negative	0.25198939	0.053097345
A5$Metabacillus	A5	Hp-negative	0	0.05899705
A5$Methylacidiphilum	A5	Hp-negative	0	0.148672566
A5$Methylibium_sp._Pch-M	A5	Hp-negative	0	0
A5$Methylobacterium	A5	Hp-negative	0	0.101474926
A5$Methylobacterium-Methylorubrum	A5	Hp-negative	0	0
A5$Methylococcus	A5	Hp-negative	0	0.017699115
A5$Methyloligella	A5	Hp-negative	0	0.012979351
A5$Methylomicrobium	A5	Hp-negative	0	0
A5$Methylomusa	A5	Hp-negative	0	0
A5$Methyloprofundus	A5	Hp-negative	0	0
A5$Methylorubrum	A5	Hp-negative	0	0.062536873
A5$Methyloversatilis	A5	Hp-negative	0	0
A5$Microbacterium	A5	Hp-negative	0	0
A5$Microbulbifer	A5	Hp-negative	0	0.095575221
A5$Microcella	A5	Hp-negative	0	0
A5$Microchaete_diplosiphon	A5	Hp-negative	0	0.067256637
A5$Micrococcus	A5	Hp-negative	0	0
A5$Microcoleus_sp._PCC_7113	A5	Hp-negative	0	0.034218289
A5$Microcystis_aeruginosa	A5	Hp-negative	0	0.066076696
A5$Microlunatus	A5	Hp-negative	0	0
A5$Micromonospora	A5	Hp-negative	0	0.062536873
A5$Microterricola	A5	Hp-negative	0	0.034218289
A5$Microvirga	A5	Hp-negative	0	0.012979351
A5$Miltoncostaea	A5	Hp-negative	0	0
A5$Minicystis_rosea	A5	Hp-negative	0	0.024778761
A5$Mitsuaria	A5	Hp-negative	0	0
A5$Mitsuaria_sp._7	A5	Hp-negative	0	0.014159292
A5$Mixta	A5	Hp-negative	0	0
A5$MND1	A5	Hp-negative	0	0
A5$Mogibacterium	A5	Hp-negative	0	0.016519174
A5$Monoglobus	A5	Hp-negative	0	0.031858407
A5$Moorea_producens	A5	Hp-negative	0	0.025958702
A5$Moraxella	A5	Hp-negative	0	0.09439528
A5$Morganella	A5	Hp-negative	0	0.020058997
A5$Moritella	A5	Hp-negative	0	0.057817109
A5$Mucilaginibacter	A5	Hp-negative	0	0.143952802
A5$Mucispirillum	A5	Hp-negative	5.464190981	0
A5$Muribaculum	A5	Hp-negative	0	0
A5$Muricauda	A5	Hp-negative	0	0
A5$Mycobacterium	A5	Hp-negative	0	0.401179941
A5$Mycobacteroides	A5	Hp-negative	0	0.018879056
A5$Mycolicibacillus	A5	Hp-negative	0	0
A5$Mycolicibacter	A5	Hp-negative	0	0.012979351
A5$Mycolicibacterium	A5	Hp-negative	0	0.027138643
A5$Mycoplasma	A5	Hp-negative	0	0.378761062
A5$Mycoplasmopsis	A5	Hp-negative	0	0.178171091
A5$Myroides	A5	Hp-negative	0	0.092035398
A5$Myxococcus	A5	Hp-negative	0	0.029498525
A5$Natranaerobius	A5	Hp-negative	0	0.018879056
A5$Natronoglycomyces	A5	Hp-negative	0	0.012979351
A5$Nautilia	A5	Hp-negative	0	0.02359882
A5$Ndongobacter	A5	Hp-negative	0	0
A5$Negativicoccus	A5	Hp-negative	0	0
A5$Neisseria	A5	Hp-negative	4.323607427	0.215929204
A5$Neobacillus	A5	Hp-negative	0	0
A5$Neochlamydia	A5	Hp-negative	0	0
A5$Neorhizobium	A5	Hp-negative	0	0.016519174
A5$Neptunomonas	A5	Hp-negative	0	0
A5$Niabella	A5	Hp-negative	0	0.014159292
A5$Niallia	A5	Hp-negative	0	0.038938053
A5$Niastella	A5	Hp-negative	0	0.02359882
A5$Nibribacter	A5	Hp-negative	0	0
A5$Nitratifractor	A5	Hp-negative	0	0
A5$Nitrosomonas	A5	Hp-negative	0	0.067256637
A5$Nitrosophilus	A5	Hp-negative	0	0.01179941
A5$Niveispirillum	A5	Hp-negative	0	0
A5$NK4A214_group	A5	Hp-negative	0.25198939	0
A5$Nocardia	A5	Hp-negative	0	0.210029499
A5$Nocardioides	A5	Hp-negative	0	0
A5$Nocardiopsis	A5	Hp-negative	0	0
A5$Nodularia_spumigena	A5	Hp-negative	0	0
A5$Nonlabens	A5	Hp-negative	0	0
A5$Nonomuraea	A5	Hp-negative	0	0.044837758
A5$Nosocomiicoccus	A5	Hp-negative	0	0.014159292
A5$Nostoc_edaphicum	A5	Hp-negative	0	0.030678466
A5$Nostoc_flagelliforme	A5	Hp-negative	0	0.03539823
A5$Nostoc_linckia	A5	Hp-negative	0	0.048377581
A5$Nostoc_PCC-7524	A5	Hp-negative	0	0
A5$Nostoc_punctiforme	A5	Hp-negative	0	0.027138643
A5$Nostoc_sp._ATCC_53789	A5	Hp-negative	0	0.024778761
A5$Nostoc_sp._C052	A5	Hp-negative	0	0.016519174
A5$Nostoc_sp._CENA543	A5	Hp-negative	0	0.121533923
A5$Nostoc_sp._'Lobaria_pulmonaria_(5183)_cyanobiont'	A5	Hp-negative	0	0.014159292
A5$Nostoc_sp._NIES-3756	A5	Hp-negative	0	0.304424779
A5$Nostoc_sp._NIES-4103	A5	Hp-negative	0	0.033038348
A5$Nostoc_sp._PCC_7107	A5	Hp-negative	0	0.037758112
A5$Nostoc_sp._PCC_7524	A5	Hp-negative	0	0.014159292
A5$Nostoc_sp._'Peltigera_membranacea_cyanobiont'_N6	A5	Hp-negative	0	0.016519174
A5$Nostoc_sp._TCL26-01	A5	Hp-negative	0	0.014159292
A5$Nostoc_sp._UHCC_0702	A5	Hp-negative	0	0.01179941
A5$Nostoc_sphaeroides	A5	Hp-negative	0	0.014159292
A5$Novosphingobium	A5	Hp-negative	0	0
A5$Novosphingopyxis	A5	Hp-negative	0	0
A5$Oceanicola	A5	Hp-negative	0	0
A5$Oceanihabitans	A5	Hp-negative	0	0.017699115
A5$Oceanisphaera	A5	Hp-negative	0	0
A5$Oceanivirga	A5	Hp-negative	0	0
A5$Oceanobacillus	A5	Hp-negative	0	0.03539823
A5$Ochrobactrum	A5	Hp-negative	0	0
A5$Octadecabacter	A5	Hp-negative	0	0
A5$Odoribacter	A5	Hp-negative	0.145888594	0.016519174
A5$Oenococcus	A5	Hp-negative	0	0
A5$Oleiphilus	A5	Hp-negative	0	0.012979351
A5$Olivibacter	A5	Hp-negative	0	0.027138643
A5$Olleya	A5	Hp-negative	0	0.043657817
A5$Olsenella	A5	Hp-negative	0	0
A5$OM27_clade	A5	Hp-negative	0	0
A5$Oribacterium	A5	Hp-negative	0	0
A5$Orientia	A5	Hp-negative	0	0.055457227
A5$Ornithinibacillus	A5	Hp-negative	0	0
A5$Ornithinimicrobium	A5	Hp-negative	0	0
A5$Ornithobacterium	A5	Hp-negative	0	0.038938053
A5$Orrella	A5	Hp-negative	0	0
A5$Oscillatoria_acuminata	A5	Hp-negative	0	0.014159292
A5$Oscillatoria_nigro-viridis	A5	Hp-negative	0	0
A5$Oscillibacter	A5	Hp-negative	0.669761273	0
A5$Oscillospira	A5	Hp-negative	0	0
A5$Otariodibacter	A5	Hp-negative	0	0
A5$Ottowia	A5	Hp-negative	0	0.037758112
A5$Oxobacter	A5	Hp-negative	0	0
A5$Oxynema_sp._AP17	A5	Hp-negative	0	0.020058997
A5$Paenibacillus	A5	Hp-negative	0.092838196	0.645427729
A5$Paeniclostridium	A5	Hp-negative	0	0.143952802
A5$Paenisporosarcina	A5	Hp-negative	0	0
A5$Paludibacter	A5	Hp-negative	0	0.018879056
A5$Paludibacterium	A5	Hp-negative	0	0.015339233
A5$Paludisphaera	A5	Hp-negative	0	0
A5$Panacibacter	A5	Hp-negative	0	0.014159292
A5$Pandoraea	A5	Hp-negative	0	0.101474926
A5$Pannonibacter	A5	Hp-negative	0	0.041297935
A5$Pantoea	A5	Hp-negative	0	0.050737463
A5$Parabacteroides	A5	Hp-negative	0.437665782	0.050737463
A5$Paraburkholderia	A5	Hp-negative	0	0.110914454
A5$Paraclostridium	A5	Hp-negative	0	0.044837758
A5$Paracoccus	A5	Hp-negative	0	0.084955752
A5$Paraflavitalea	A5	Hp-negative	0	0.01179941
A5$Parageobacillus	A5	Hp-negative	0	0.037758112
A5$Paraglaciecola	A5	Hp-negative	0	0.066076696
A5$Paraliobacillus	A5	Hp-negative	0	0
A5$Paraoceanicella	A5	Hp-negative	0	0.012979351
A5$Paraphotobacterium	A5	Hp-negative	0	0.014159292
A5$Paraprevotella	A5	Hp-negative	0	0
A5$Parashewanella	A5	Hp-negative	0	0.01179941
A5$Parasutterella	A5	Hp-negative	0	0
A5$Parvimonas	A5	Hp-negative	0.344827586	0.030678466
A5$Pasteurella	A5	Hp-negative	0	0.300884956
A5$Patulibacter	A5	Hp-negative	0	0
A5$Paucilactobacillus	A5	Hp-negative	0	0.012979351
A5$Pectinatus	A5	Hp-negative	0	0.01179941
A5$Pectobacterium	A5	Hp-negative	0	0.049557522
A5$Pediococcus	A5	Hp-negative	0	0.041297935
A5$Pedobacter	A5	Hp-negative	0	0.133333333
A5$Pedomicrobium	A5	Hp-negative	0	0
A5$Pelobacter	A5	Hp-negative	0	0.086135693
A5$Pelolinea	A5	Hp-negative	0	0.01179941
A5$Pelosinus	A5	Hp-negative	0	0.029498525
A5$Peptacetobacter	A5	Hp-negative	0	0.044837758
A5$Peptoclostridium	A5	Hp-negative	0	0
A5$Peptococcus	A5	Hp-negative	0	0
A5$Peptoniphilus	A5	Hp-negative	0	0.022418879
A5$Peptostreptococcus	A5	Hp-negative	1.690981432	0
A5$Peribacillus	A5	Hp-negative	0	0.107374631
A5$Persephonella	A5	Hp-negative	0	0.015339233
A5$Persicimonas	A5	Hp-negative	0	0
A5$Petrocella	A5	Hp-negative	0	0.015339233
A5$Petrotoga	A5	Hp-negative	0	0.016519174
A5$Phaeobacter	A5	Hp-negative	0	0.140412979
A5$Phascolarctobacterium	A5	Hp-negative	0	0.012979351
A5$Phenylobacterium	A5	Hp-negative	0	0
A5$Phnomibacter	A5	Hp-negative	0	0.012979351
A5$Phocaeicola	A5	Hp-negative	0	0.107374631
A5$Phocoenobacter	A5	Hp-negative	0	0
A5$Phormidium	A5	Hp-negative	0	0.01179941
A5$Photobacterium	A5	Hp-negative	0	0.016519174
A5$Photorhabdus	A5	Hp-negative	0	0.074336283
A5$Phreatobacter	A5	Hp-negative	0.417771883	0
A5$Phyllobacterium	A5	Hp-negative	0	0.020058997
A5$Phytobacter	A5	Hp-negative	0	0
A5$Phytohabitans	A5	Hp-negative	0	0
A5$Pir4_lineage	A5	Hp-negative	0	0
A5$Pirellula	A5	Hp-negative	0	0.018879056
A5$Pirellulimonas	A5	Hp-negative	0	0
A5$Piscirickettsia	A5	Hp-negative	0	0.030678466
A5$Planktothrix_rubescens	A5	Hp-negative	0	0
A5$Planococcus	A5	Hp-negative	0	0
A5$Planomicrobium	A5	Hp-negative	0	0
A5$Plantactinospora	A5	Hp-negative	0	0
A5$Plesiomonas	A5	Hp-negative	0	0
A5$Plesiomonas_shigelloides	A5	Hp-negative	0	0
A5$Pleurocapsa_sp._PCC_7327	A5	Hp-negative	0	0
A5$Pluralibacter	A5	Hp-negative	0	0.025958702
A5$Polaribacter	A5	Hp-negative	0	0.515634218
A5$Polaromonas	A5	Hp-negative	0	0.012979351
A5$Polycladomyces	A5	Hp-negative	0	0
A5$Polymorphobacter	A5	Hp-negative	0	0.015339233
A5$Polymorphospora	A5	Hp-negative	0	0
A5$Polynucleobacter	A5	Hp-negative	0	1.237758112
A5$Pontibacillus	A5	Hp-negative	0	0.017699115
A5$Pontibacter	A5	Hp-negative	0	0.018879056
A5$Pontivivens	A5	Hp-negative	0	0
A5$Porphyromonas	A5	Hp-negative	3.017241379	0.076696165
A5$Poseidonibacter	A5	Hp-negative	0	0.025958702
A5$Pradoshia	A5	Hp-negative	0	0
A5$Pragia	A5	Hp-negative	0	0.014159292
A5$Prevotella	A5	Hp-negative	22.23474801	0.919174041
A5$Prevotellaceae_Ga6A1_group	A5	Hp-negative	0	0
A5$Prevotellaceae_NK3B31_group	A5	Hp-negative	0	0
A5$Prevotellaceae_UCG-001	A5	Hp-negative	0	0
A5$Prevotellaceae_UCG-003	A5	Hp-negative	0	0
A5$Prevotellaceae_UCG-004	A5	Hp-negative	0	0
A5$Priestia	A5	Hp-negative	0	0.351622419
A5$Prochlorococcus_marinus	A5	Hp-negative	0	0.429498525
A5$Prochlorococcus_sp._MIT_0801	A5	Hp-negative	0	0
A5$Propionibacterium	A5	Hp-negative	0	0
A5$Propionivibrio	A5	Hp-negative	0	0
A5$Prosthecochloris	A5	Hp-negative	0	0.033038348
A5$Protaetiibacter	A5	Hp-negative	0	0.090855457
A5$Proteiniclasticum	A5	Hp-negative	0	0
A5$Proteiniphilum	A5	Hp-negative	0	0
A5$Proteus	A5	Hp-negative	0	0.265486726
A5$Providencia	A5	Hp-negative	0	0.18879056
A5$Pseudaminobacter	A5	Hp-negative	0	0
A5$Pseudanabaena_sp._ABRG5-3	A5	Hp-negative	0	0.014159292
A5$Pseudanabaena_sp._PCC_7367	A5	Hp-negative	0	0.017699115
A5$Pseudoalteromonas	A5	Hp-negative	0	0.210029499
A5$Pseudoarcobacter	A5	Hp-negative	0	0.03539823
A5$Pseudobacter	A5	Hp-negative	0	0.020058997
A5$Pseudobutyrivibrio	A5	Hp-negative	0	0
A5$Pseudoclostridium	A5	Hp-negative	0	0.033038348
A5$Pseudocnuella	A5	Hp-negative	0	0
A5$Pseudogracilibacillus	A5	Hp-negative	0	0
A5$Pseudoleptotrichia	A5	Hp-negative	0	0.022418879
A5$Pseudolysobacter	A5	Hp-negative	0	0
A5$Pseudomonas	A5	Hp-negative	0.278514589	1.496165192
A5$Pseudonocardia	A5	Hp-negative	0	0.029498525
A5$Pseudopedobacter	A5	Hp-negative	0	0.021238938
A5$Pseudorhodobacter	A5	Hp-negative	0	0
A5$Pseudorhodoplanes	A5	Hp-negative	0	0
A5$Pseudoxanthomonas	A5	Hp-negative	0	0
A5$Psychrobacillus	A5	Hp-negative	0	0.015339233
A5$Psychrobacter	A5	Hp-negative	0	0.034218289
A5$Psychroflexus	A5	Hp-negative	0	0.018879056
A5$Psychroglaciecola	A5	Hp-negative	0	0
A5$Psychromonas	A5	Hp-negative	0	0
A5$Psychroserpens	A5	Hp-negative	0	0.049557522
A5$Psychrosphaera	A5	Hp-negative	0	0
A5$Pyxidicoccus	A5	Hp-negative	0	0.028318584
A5$Quinella	A5	Hp-negative	0	0
A5$Radiobacillus	A5	Hp-negative	0	0
A5$Rahnella1	A5	Hp-negative	0	0
A5$Ralstonia	A5	Hp-negative	0.450928382	0.650147493
A5$Ramlibacter	A5	Hp-negative	0	0
A5$Rathayibacter	A5	Hp-negative	0	0
A5$Rheinheimera	A5	Hp-negative	0	0
A5$Rhizobacter	A5	Hp-negative	0	0
A5$Rhizobacter_gummiphilus	A5	Hp-negative	0	0
A5$Rhizobacter_sp._AJA081-3	A5	Hp-negative	0	0.017699115
A5$Rhizobium	A5	Hp-negative	0	0.095575221
A5$Rhizorhapis	A5	Hp-negative	0	0
A5$Rhodanobacter	A5	Hp-negative	0	0.016519174
A5$Rhodobaca	A5	Hp-negative	0	0.01179941
A5$Rhodobacter	A5	Hp-negative	0	0
A5$Rhodococcus	A5	Hp-negative	0	0.067256637
A5$Rhodocytophaga	A5	Hp-negative	0	0.031858407
